msoa11cd,house_price_median_yrto_dec_95,house_price_median_yrto_sep_21,house_price_mean_median_1995to2000,house_price_mean_median_2017to2021
E02005567,52000,228000,56043.42105263158,211722.36842105264
E02005568,40750,297500,55871.05263157895,243947.23684210525
E02005569,45500,240000,55216.97368421053,217986.84210526315
E02003258,60500,317000,71203.94736842105,300973.6842105263
E02003259,45000,256500,51899.86842105263,252622.36842105264
E02003260,32000,220000,36569.47368421053,213039.47368421053
E02003261,60000,317250,66690.52631578948,277802.63157894736
E02003262,44000,274500,48550.39473684211,250289.47368421053
E02003263,42750,275000,50353.57894736842,251960.52631578947
E02003264,67000,395000,79307.42105263157,343381.5789473684
E02003265,49500,270000,53689.47368421053,257868.42105263157
E02003266,42000,243500,45673.81578947369,233710.52631578947
E02003267,45000,252500,47496.68421052631,243671.05263157896
E02003268,41000,257500,48487.76315789474,249486.84210526315
E02003269,49425,285000,54585.78947368421,272171.05263157893
E02003270,51000,280000,56786.31578947369,260684.2105263158
E02003271,48000,292500,56808.81578947369,266131.5789473684
E02003272,37500,245000,42045.52631578947,227810.52631578947
E02003273,47000,279000,54768.15789473684,259811.44736842104
E02003274,30000,182500,32714.21052631579,189171.05263157896
E02003275,35000,201500,41715.65789473684,174978.81578947368
E02003276,34000,223500,37882.63157894737,197447.36842105264
E02003277,41500,268000,47479.60526315789,254315.7894736842
E02003278,38750,240000,43351.97368421053,171610.52631578947
E02004555,56000,360000,65805.71052631579,327421.05263157893
E02004556,94250,535000,117119.73684210527,477486.84210526315
E02004557,50000,342250,68009.47368421052,306644.6052631579
E02004558,57000,284500,63541.97368421053,287592.1052631579
E02004559,75950,345000,78110.65789473684,326840.7894736842
E02004560,50000,322000,66904.34210526316,288751.84210526315
E02004561,72500,400000,87165.13157894737,372496.05263157893
E02004562,52950,320000,62334.07894736842,308434.2105263158
E02006261,73250,365000,76776.31578947368,322946.05263157893
E02006262,64500,367500,72830.52631578948,329209.2105263158
E02006263,69000,350000,75798.68421052632,323663.05263157893
E02006264,65725,322500,70297.36842105263,304118.2894736842
E02006265,55000,282000,63034.07894736842,268260.3947368421
E02006266,62250,370000,82581.44736842105,322618.4210526316
E02006267,69250,365000,81418.42105263157,335065.65789473685
E02006268,46000,242500,51201.18421052631,210289.2105263158
E02006269,55000,285000,60961.31578947369,258998.02631578947
E02006270,42750,230000,47805,219776.31578947368
E02006271,49000,256750,59723.68421052631,236064.2105263158
E02006272,48875,310000,61643.42105263158,263273.2894736842
E02004909,51500,360000,63025.65789473684,305342.1052631579
E02004910,67500,340000,76703.94736842105,324223.4210526316
E02004911,50000,323750,61787.76315789474,298605.2631578947
E02004912,58250,339999.5,66413.42105263157,300142.6052631579
