msoa11cd,moss_lead_mean_idw_1990,moss_sample_dist_mean_1990,moss_lead_mean_idw_1995,moss_sample_dist_mean_1995,moss_lead_mean_idw_2000,moss_sample_dist_mean_2000,moss_lead_mean_idw_2005,moss_sample_dist_mean_2005,moss_lead_mean_idw_1990_pl_hy,moss_sample_dist_mean_1990_pl_hy,moss_lead_mean_idw_2000_pl_hy,moss_sample_dist_mean_2000_pl_hy,moss_lead_mean_idw_2005_pl_hy,moss_sample_dist_mean_2005_pl_hy
E02004220,10.296348390220174,74768.92764654061,13.137117255772948,88199.4760781721,4.9688309050890735,55461.38364432024,4.228988681028953,55539.06953731935,6.977294592463716,130999.90285716833,4.3140262855008045,80053.11364164708,3.6592061671422966,95211.82033784813
E02004221,10.274671434560428,75149.97410948636,13.067839457447096,88476.70118266369,4.981668513455068,55450.58488199833,4.216445446016857,55527.63683191786,6.983166108173394,131640.96809676918,4.29388468983666,80051.63134950126,3.654407234442848,95601.52064871669
E02004222,10.254393587846149,75140.12357767951,13.001461376314264,88743.76270067651,4.990648148140995,54715.66335260857,4.203043657493179,54791.55812815673,6.998632087776215,132106.08022865347,4.299601573959374,79736.50509723029,3.6471504662846472,95796.86359657324
E02004223,10.252734916040652,74916.77495081202,12.99183875156245,88775.83897735707,4.989647667560309,54206.91232151269,4.200878735134554,54282.33504351732,7.0062250278251925,132062.452785161,4.297031111129351,79543.02549369907,3.6448481380558704,95711.05633674192
E02004224,9.964037681908898,80263.61396944356,12.501516021370723,91497.1415726688,4.634964661242296,58490.672338970966,3.9025324388336613,58543.459786999956,6.999322764054824,138679.53208681472,4.424130773356363,81160.9053733775,3.6171474630535543,100501.14873962043
E02004225,10.109821871450785,73299.96308251981,12.647826116229922,89265.10536075116,5.001484919824561,50480.000960850884,4.154609543341907,50549.42835171695,7.0805902940237635,132886.99514052176,4.300126463219331,78217.57177366686,3.6748848518930624,95877.00084807315
E02004226,10.45111608074076,69403.96903488121,12.41396362725112,89040.39219324765,4.974569859982289,46430.82379551357,4.129103877248919,46491.992107999155,6.976615617214655,131921.44587609597,4.283418849298997,76475.73393028518,3.638943556883625,95187.03532127468
E02004227,9.371710701185798,79717.52358118538,11.722866303263475,95700.93971394481,4.851197903662831,55365.18464908773,3.7309327041785236,55402.30767669728,7.115048648664924,148043.50783697335,4.587704258218289,80509.03626437904,3.5246823398672653,106887.85748931504
E02004228,8.579267699442564,74519.4701647782,11.756733864359424,94013.74569121693,4.770958951283452,51430.81508705521,3.7381898030184892,51457.79967356413,7.180917394172379,144555.38592979257,4.4907758011343555,78141.29028774168,3.516782758770185,104141.15319970578
E02004229,9.152146885560885,66003.12704762108,12.164190720883497,90164.21266175543,4.952730134326343,45736.937043138685,3.86110704411727,45784.31206968227,7.109985223648182,136854.34011981203,4.33216711877745,74157.69760367298,3.4832707084765193,98926.03416489057
E02004230,8.991949954294277,64057.49006828455,11.816816998398203,91150.83489859443,4.826747807693737,46025.76057232629,3.5184315848930336,46067.9943224492,7.19514617710981,139865.34554481367,4.473180419994165,73270.54174513686,3.287052147064478,101433.06229851503
E02004231,8.924637868263517,59162.12331509454,11.434733026021913,91050.49292609567,4.864572019636846,46193.1751641398,3.7930099275666116,46219.58868953442,8.058105014994442,139067.2453764187,4.3310259707861505,73183.78972667888,3.4655569232101526,103817.62485574244
E02004232,8.171780851445417,70564.26114019992,11.407787462996652,98117.09565918669,4.882002738983539,51837.482954229185,3.585285133530559,51835.1182245838,7.3478461026186626,154473.65153175168,4.66367253271658,77966.42860596762,3.528031949492394,113342.2312481369
E02004233,8.319589969067621,67489.55840374537,11.097947501199721,99607.72619586879,4.783158683546139,53744.16519674771,3.6310095321361198,53720.55551282663,7.310816502654351,157471.15317393586,4.524931211091275,78722.13000351262,3.5870862871672187,117999.7884931515
E02004234,8.306745998124722,65802.67760729995,10.950415839403068,100233.2427210772,4.716159448264962,55063.47556248071,3.6873041640067594,55029.76088352781,7.687075380548736,158088.4738717322,4.431264075332111,79338.88541337034,3.62955194586635,120035.5034184428
E02004235,8.146790516248531,67629.38609177971,11.00526966427408,102146.93537495424,4.772737221389547,56819.26258565675,3.6360994712173613,56783.226037576824,7.361122709639906,161471.09993167123,4.493891290561463,80881.70604719289,3.609620672146939,122991.59236722381
E02004236,10.927348277645253,59637.502872099336,11.589850226797543,77786.63915440952,4.621836501504108,83023.97861781974,3.8150464137310682,92873.25818228272,8.374275669295782,153872.83862990583,3.5055039721100294,101563.583495186,3.874449416432325,153134.61805348413
E02004237,10.927403124283463,59538.706507862844,11.523048504741457,78199.99759258256,4.569421232684977,83136.83418317244,4.11493268969696,93344.35139158148,8.370689243569384,153417.55432955353,3.465185836707057,101262.94842394975,3.8748555945304464,152572.7303493078
E02004238,10.854680557501716,60053.717287148684,11.765074528687947,78158.28965939023,4.758115513199925,83443.35306572911,3.851650425185149,92781.62764404694,8.665725450758927,157471.04657270652,3.6683512479143965,103220.1689184398,3.872554206123206,156380.5079108041
E02004239,10.874078211684923,59857.508406027184,11.696355303425245,78229.73375276629,4.710056093953013,83606.70571668433,3.8385743670028205,93034.38064206432,8.383509908952961,156477.944898588,3.6285657226680463,102847.53410527032,3.8731782057164406,155374.36380812453
E02004240,10.885640168539009,59688.30297713401,11.620233119277973,78514.9290354637,4.970979027855392,83730.17803210896,3.823320713887847,93508.48067594998,8.378746346440844,155622.90611954394,3.5193232296849795,102403.1693204559,3.8737640410325622,154492.03658140398
E02004241,10.903453271843148,59558.86521436505,11.536765168250886,78711.93800875319,4.572462725416122,83648.76766796155,4.118381814317352,93791.9345324693,8.37343240424869,154531.71489570665,3.4713871128172737,101788.75716107192,3.874395388331069,153420.21164623756
E02004242,10.86256687608967,59729.80810432829,11.63905834917825,78888.70973740543,4.980714486835889,84074.52320369583,3.8280646192614967,93828.1913293807,8.381023397045752,156525.52569378837,3.5278927459651723,102853.19547095832,3.873438133935455,155201.4604324438
E02004243,11.462720330998254,60442.42764349016,11.756482696062056,71757.71780306907,4.7285062749545235,77009.36587846791,4.126807004500593,86154.40175144169,8.336089633077759,139567.4935841529,3.711521231634059,95334.29712574999,3.882410246113449,143285.59978643968
E02004244,11.38111536872435,60180.273962302796,11.641539875458175,73054.01513830468,4.620265666625257,78008.13776885634,4.0814376646184565,87673.23781825617,8.341058554829935,142063.00809170026,3.642857271184667,96631.09252033125,3.881066053070304,144685.70045386284
E02004245,11.376155026206153,60176.91478596613,11.61941200845164,73153.47545036238,4.607989505852176,77836.09453944431,4.101875451702714,87620.26261854029,8.336802015442927,141383.86129019794,3.623324549171136,96522.96953342624,3.8819080275234916,144071.88263749238
E02004246,11.097179745723775,59993.03995243675,11.592640611796147,74362.10105701907,4.547527052005233,79593.58386553716,4.070458333544318,89339.62616331091,8.35393463750773,146007.40305498097,3.5802092987007046,98260.6585927008,3.878288955102593,147446.90003327702
E02004247,11.033018774018506,60222.03757075141,10.62153012424804,75574.95520692771,4.717470071005458,76381.31010581582,4.311721581845443,88206.23917702073,8.314304885720363,139294.9040834801,3.2904773691631792,95613.51153517935,3.884765604605357,141116.33722539997
E02004248,11.065763155433384,59816.856278993626,11.47064159117519,75089.74851331727,4.869092643232205,79188.50298244721,4.045943936859392,89748.12894991174,8.344671081312104,144859.6623478224,3.4342334252392424,97825.51879841849,3.879781512002161,146134.0476559822
E02004249,11.024911404467348,59832.29395138554,11.236845811843729,76275.16765712546,4.677236195142666,77930.08184867734,4.160611420498676,89976.65999455343,8.329862717521719,142762.16959772157,3.2981854923119363,96662.27263256379,3.881714696965993,143803.5767921093
