msoa11cd,lad20cd,imd_overall_score_2015,imd_income_score_2015,imd_employment_score_2015,imd_health_disability_score_2015,imd_housing_services_score_2015,total_ppl_est_2015
E02000151,E09000006,4.035781282586027,0.02782494786235662,0.03110740354535975,-1.6479074556830033,17.296333420229406,7672
E02000152,E09000006,24.334110890565036,0.15903440518724363,0.10267526796347756,-0.2265130342728596,39.47103096466852,7557
E02000153,E09000006,6.094153517050459,0.03656008556688058,0.036826852900465584,-1.3640101925254815,21.526938844847113,7947
E02000154,E09000006,11.251371650717703,0.07245933014354067,0.05530263157894737,-1.1927388755980861,25.658094258373207,8360
E02000155,E09000006,17.19982082429501,0.09567302964569775,0.07973391178597253,-0.7852851771511208,26.6027838033261,6915
E02000156,E09000006,6.711487266553481,0.040837658662786,0.04060029105020616,-1.2024960789069448,24.64733195892958,12369
E02000157,E09000006,5.383091201186357,0.027115546218487392,0.02701989619377163,-1.3300360850222441,29.735246786950075,8092
E02000158,E09000006,18.094705116638742,0.1305883490140482,0.09432658847789664,-0.6156322979765434,26.99231924217038,7759
E02000159,E09000006,7.260148747315677,0.04036750178954903,0.03914931997136722,-1.5526562634216177,28.18960429491768,6985
E02000160,E09000006,7.990305309181761,0.03900974391005622,0.040080324797001875,-1.2665668956901937,28.727946158650845,8005
E02000161,E09000006,5.1688684997699035,0.033384031293143115,0.03616751035434883,-1.2851777496548549,22.759256327657617,8692
E02000162,E09000006,13.508810934592816,0.0827732932589094,0.06916058394160585,-0.8579411764705883,32.34654844711607,6987
E02000163,E09000006,7.727085717952009,0.05978185551135635,0.04480687796740665,-1.1306169639419994,22.568099448222764,7793
E02000165,E09000006,9.006367838910947,0.05840173000567215,0.04590102098695406,-1.029862308564946,24.309274957458875,7052
E02000166,E09000007,20.44251639344262,0.14058185176633572,0.10710459478180559,-0.6635975525282845,19.329857885015006,8662
E02000167,E09000007,6.397151924839597,0.03791567369385884,0.02639711274060495,-1.8832945692025664,14.60645909715857,8728
E02000168,E09000007,16.301063330040613,0.1120602568324004,0.08347481066842279,-0.5277918999012183,18.61004467127648,9111
E02000169,E09000007,5.946124186046513,0.03918593023255814,0.027248023255813953,-2.0192223255813957,19.97477406976744,8600
E02000170,E09000007,13.196566253263708,0.09395789817232375,0.066125,-0.8141170583115753,18.04519832463011,9192
E02000171,E09000007,14.361147302668938,0.11264395229982964,0.07550198750709823,-0.9596875638841569,17.53304531516184,8805
E02000172,E09000007,29.422444004476198,0.21772256176293361,0.15120263407075837,0.1734276491348885,21.346769303606784,11617
E02000173,E09000007,8.938290639837215,0.06058241012887181,0.03757302735699751,-1.4453823196925164,19.80740673750848,8846
E02000174,E09000007,21.866668215417107,0.16624963041182683,0.10815364308342132,-0.22641678986272437,21.52468848996832,9470
E02000175,E09000007,15.199653641386238,0.10568387744851834,0.07266408839779005,-0.590288297338021,21.243442893018585,9955
E02000176,E09000007,8.016324858366726,0.04718142876882686,0.035392565980378606,-1.485846759707061,18.829852425038,7237
E02000177,E09000007,27.632996899379872,0.202751550310062,0.12582676535307064,-0.05795169033806759,21.733000200040006,9998
E02000178,E09000007,26.68319258202568,0.19851100468718158,0.12581281842266148,-0.039430507438353385,24.111831363358466,9814
E02000179,E09000007,15.92515038434661,0.13160237596086652,0.07898658280922431,-0.9208511530398322,20.289743256464014,7155
E02000180,E09000007,23.5154621785174,0.1566920250702399,0.10281456667387075,-0.09760471147611843,25.12515020531662,9254
E02000181,E09000007,12.549205871648672,0.09764090743661288,0.05878806259856848,-0.8438627926725706,21.628120223219703,8243
E02000182,E09000007,14.248015745965096,0.10192271355465163,0.06452578401784542,-1.1952844771027424,21.929774832699124,7621
E02000183,E09000007,18.61980294504968,0.13604968274871304,0.0847527834311026,-0.6921729917394948,20.330331377948042,8353
E02000184,E09000007,30.14434646824565,0.2082047788723538,0.12849434080905472,0.3355263047579124,23.876943722490044,9542
