state,zip,year,tested,BLL_geq_10
MI,48051,2006,,
MI,48051,2007,,
MI,48051,2008,,
MI,48051,2009,,
MI,48051,2010,,
MI,48051,2011,,
MI,48051,2012,,
MI,48051,2013,,
MI,48051,2014,,
MI,48051,2015,,
MI,48051,2005,,
MI,48051,2006,,
MI,48051,2007,,
MI,48051,2008,,
MI,48051,2009,,
MI,48051,2010,,
MI,48051,2011,,
MI,48051,2012,,
MI,48051,2013,,
MI,48051,2014,,
MI,48051,2015,,
MI,48052,2005,,
MI,48052,2006,,
MI,48052,2007,,
MI,48052,2008,,
MI,48052,2009,,
MI,48052,2010,,
MI,48052,2011,,
MI,48052,2012,,
MI,48052,2013,,
MI,48052,2014,,
MI,48052,2015,,
MI,48053,2005,,
MI,48053,2006,,
MI,48053,2007,,
MI,48053,2008,,
MI,48053,2009,,
MI,48053,2010,,
MI,48053,2011,,
MI,48053,2012,,
MI,48053,2013,,
MI,48053,2014,,
MI,48053,2015,,
MI,48054,2005,,
MI,48054,2006,,
MI,48054,2007,,
MI,48054,2008,,
MI,48054,2009,,
MI,48054,2010,,
MI,48054,2011,,
MI,48054,2012,,
MI,48054,2013,,
MI,48054,2014,,
MI,48054,2015,,
MI,48054,2005,,
MI,48054,2006,,
MI,48054,2007,,
MI,48054,2008,,
MI,48054,2009,,
MI,48054,2010,,
MI,48054,2011,,
MI,48054,2012,,
MI,48054,2013,,
MI,48054,2014,,
MI,48054,2015,,
MI,48054,2005,,
MI,48054,2006,,
MI,48054,2007,,
MI,48054,2008,,
MI,48054,2009,,
MI,48054,2010,,
MI,48054,2011,,
MI,48054,2012,,
MI,48054,2013,,
MI,48054,2014,,
MI,48054,2015,,
MI,48056,2005,,
MI,48056,2006,,
MI,48056,2007,,
MI,48056,2008,,
MI,48056,2009,,
MI,48056,2010,,
MI,48056,2011,,
MI,48056,2012,,
MI,48056,2013,,
MI,48056,2014,,
MI,48056,2015,,
MI,48057,2005,,
MI,48057,2006,,
MI,48057,2007,,
MI,48057,2008,,
MI,48057,2009,,
MI,48057,2010,,
MI,48057,2011,,
MI,48057,2012,,
MI,48057,2013,,
MI,48057,2014,,
MI,48057,2015,,
MI,48059,2005,,
MI,48059,2006,,
MI,48059,2007,,
MI,48059,2008,,
MI,48059,2009,,
MI,48059,2010,,
MI,48059,2011,,
MI,48059,2012,,
MI,48059,2013,,
MI,48059,2014,,
MI,48059,2015,,
MI,48060,2005,,
MI,48060,2006,,
MI,48060,2007,,
MI,48060,2008,,
MI,48060,2009,,
MI,48060,2010,,
MI,48060,2011,,
MI,48060,2012,,
MI,48060,2013,,
MI,48060,2014,,
MI,48060,2015,,
MI,48061,2005,,
MI,48061,2006,,
MI,48061,2007,,
MI,48061,2008,,
MI,48061,2009,,
MI,48061,2010,,
MI,48061,2011,,
MI,48061,2012,,
MI,48061,2013,,
MI,48061,2014,,
MI,48061,2015,,
MI,48062,2005,,
MI,48062,2006,,
MI,48062,2007,,
MI,48062,2008,,
MI,48062,2009,,
MI,48062,2010,,
MI,48062,2011,,
MI,48062,2012,,
MI,48062,2013,,
MI,48062,2014,,
MI,48062,2015,,
MI,48062,2005,,
MI,48062,2006,,
MI,48062,2007,,
MI,48062,2008,,
MI,48062,2009,,
MI,48062,2010,,
MI,48062,2011,,
MI,48062,2012,,
MI,48062,2013,,
MI,48062,2014,,
MI,48062,2015,,
MI,48063,2005,,
MI,48063,2006,,
MI,48063,2007,,
MI,48063,2008,,
MI,48063,2009,,
MI,48063,2010,,
MI,48063,2011,,
MI,48063,2012,,
MI,48063,2013,,
MI,48063,2014,,
MI,48063,2015,,
MI,48064,2005,,
MI,48064,2006,,
MI,48064,2007,,
MI,48064,2008,,
MI,48064,2009,,
MI,48064,2010,,
MI,48064,2011,,
MI,48064,2012,,
MI,48064,2013,,
MI,48064,2014,,
MI,48064,2015,,
MI,48064,2005,,
MI,48064,2006,,
MI,48064,2007,,
MI,48064,2008,,
MI,48064,2009,,
MI,48064,2010,,
MI,48064,2011,,
MI,48064,2012,,
MI,48064,2013,,
MI,48064,2014,,
MI,48064,2015,,
MI,48065,2005,,
MI,48065,2006,,
MI,48065,2007,,
MI,48065,2008,,
MI,48065,2009,,
MI,48065,2010,,
MI,48065,2011,,
MI,48065,2012,,
MI,48065,2013,,
MI,48065,2014,,
MI,48065,2015,,
MI,48066,2005,,
MI,48066,2006,,
MI,48066,2007,,
MI,48066,2008,,
MI,48066,2009,,
MI,48066,2010,,
MI,48066,2011,,
MI,48066,2012,,
MI,48066,2013,,
MI,48066,2014,,
MI,48066,2015,,
MI,48066,2005,,
MI,48066,2006,,
MI,48066,2007,,
MI,48066,2008,,
MI,48066,2009,,
MI,48066,2010,,
MI,48066,2011,,
MI,48066,2012,,
MI,48066,2013,,
MI,48066,2014,,
MI,48066,2015,,
MI,48067,2005,,
MI,48067,2006,,
MI,48067,2007,,
MI,48067,2008,,
MI,48067,2009,,
MI,48067,2010,,
MI,48067,2011,,
MI,48067,2012,,
MI,48067,2013,,
MI,48067,2014,,
MI,48067,2015,,
MI,48067,2005,,
MI,48067,2006,,
MI,48067,2007,,
MI,48067,2008,,
MI,48067,2009,,
MI,48067,2010,,
MI,48067,2011,,
MI,48067,2012,,
MI,48067,2013,,
MI,48067,2014,,
MI,48067,2015,,
MI,48068,2005,,
MI,48068,2006,,
MI,48068,2007,,
MI,48068,2008,,
MI,48068,2009,,
MI,48068,2010,,
MI,48068,2011,,
MI,48068,2012,,
MI,48068,2013,,
MI,48068,2014,,
MI,48068,2015,,
MI,48069,2005,,
MI,48069,2006,,
MI,48069,2007,,
MI,48069,2008,,
MI,48069,2009,,
MI,48069,2010,,
MI,48069,2011,,
MI,48069,2012,,
MI,48069,2013,,
MI,48069,2014,,
MI,48069,2015,,
MI,48070,2005,,
MI,48070,2006,,
MI,48070,2007,,
MI,48070,2008,,
MI,48070,2009,,
MI,48070,2010,,
MI,48070,2011,,
MI,48070,2012,,
MI,48070,2013,,
MI,48070,2014,,
MI,48070,2015,,
MI,48070,2005,,
MI,48070,2006,,
MI,48070,2007,,
MI,48070,2008,,
MI,48070,2009,,
MI,48070,2010,,
MI,48070,2011,,
MI,48070,2012,,
MI,48070,2013,,
MI,48070,2014,,
MI,48070,2015,,
MI,48071,2005,,
MI,48071,2006,,
MI,48071,2007,,
MI,48071,2008,,
MI,48071,2009,,
MI,48071,2010,,
MI,48071,2011,,
MI,48071,2012,,
MI,48071,2013,,
MI,48071,2014,,
MI,48071,2015,,
MI,48071,2005,,
MI,48071,2006,,
MI,48071,2007,,
MI,48071,2008,,
MI,48071,2009,,
MI,48071,2010,,
MI,48071,2011,,
MI,48071,2012,,
MI,48071,2013,,
MI,48071,2014,,
MI,48071,2015,,
MI,48071,2005,,
MI,48071,2006,,
MI,48071,2007,,
MI,48071,2008,,
MI,48071,2009,,
MI,48071,2010,,
MI,48071,2011,,
MI,48071,2012,,
MI,48071,2013,,
MI,48071,2014,,
MI,48071,2015,,
MI,48072,2005,,
MI,48072,2006,,
MI,48072,2007,,
MI,48072,2008,,
MI,48072,2009,,
MI,48072,2010,,
MI,48072,2011,,
MI,48072,2012,,
MI,48072,2013,,
MI,48072,2014,,
MI,48072,2015,,
MI,48073,2005,,
MI,48073,2006,,
MI,48073,2007,,
MI,48073,2008,,
MI,48073,2009,,
MI,48073,2010,,
MI,48073,2011,,
MI,48073,2012,,
MI,48073,2013,,
MI,48073,2014,,
MI,48073,2015,,
MI,48073,2005,,
MI,48073,2006,,
MI,48073,2007,,
MI,48073,2008,,
MI,48073,2009,,
MI,48073,2010,,
MI,48073,2011,,
MI,48073,2012,,
MI,48073,2013,,
MI,48073,2014,,
